Time,NumOfPeople,Optical Flow
2024-05-16 11:17:09,15,0
2024-05-16 11:17:09,27,5.7509346
2024-05-16 11:17:09,24,2.6970222
2024-05-16 11:17:10,15,3.0396035
2024-05-16 11:17:10,16,4.1178117
2024-05-16 11:17:10,21,2.6604927
2024-05-16 11:17:10,23,2.2308588
2024-05-16 11:17:11,15,3.2364647
2024-05-16 11:17:11,11,2.0559294
2024-05-16 11:17:11,23,2.2432272
2024-05-16 11:17:12,24,4.1789136
2024-05-16 11:17:12,20,2.41234
2024-05-16 11:17:12,10,2.8949447
2024-05-16 11:17:12,18,3.7265165
2024-05-16 11:17:13,13,4.855848
2024-05-16 11:17:13,21,2.972396
2024-05-16 11:17:13,17,2.6401553
2024-05-16 11:17:13,15,2.7582674
2024-05-16 11:17:14,20,4.1153855
2024-05-16 11:17:14,24,4.1775746
2024-05-16 11:17:14,25,2.8470702
2024-05-16 11:17:15,26,1.82821
2024-05-16 11:17:15,21,2.6783407
2024-05-16 11:17:15,21,3.1104832
2024-05-16 11:17:15,27,3.8076258
2024-05-16 11:17:16,21,4.066885
2024-05-16 11:17:16,20,3.7737553
2024-05-16 11:17:16,24,4.902394
2024-05-16 11:17:16,26,3.1936169
2024-05-16 11:17:17,28,1.1833693
2024-05-16 11:17:17,15,2.697248
2024-05-16 11:17:17,17,3.8719852
2024-05-16 11:17:17,20,2.3721232
2024-05-16 11:17:18,9,2.295922
2024-05-16 11:17:18,20,2.5222797
2024-05-16 11:17:18,19,1.7226971
2024-05-16 11:17:18,21,2.2076929
2024-05-16 11:17:19,23,2.348892
2024-05-16 11:17:19,19,2.777253
2024-05-16 11:17:19,23,4.1401825
2024-05-16 11:17:20,13,4.2410836
2024-05-16 11:17:20,16,3.1142268
2024-05-16 11:17:20,13,2.2191467
2024-05-16 11:17:20,14,2.895999
2024-05-16 11:17:21,10,2.8622005
2024-05-16 11:17:21,11,4.162204
2024-05-16 11:17:21,22,3.7002432
2024-05-16 11:17:22,9,2.861139
2024-05-16 11:17:22,20,2.9603581
2024-05-16 11:17:22,18,2.7662804
2024-05-16 11:17:22,7,3.2353923
2024-05-16 11:17:23,8,3.525872
2024-05-16 11:17:23,7,3.0416543
2024-05-16 11:17:23,15,2.42834
2024-05-16 11:17:23,18,1.5715697
2024-05-16 11:17:24,13,1.4369487
2024-05-16 11:17:24,25,2.6366158
2024-05-16 11:17:24,17,2.6393504
2024-05-16 11:17:24,18,2.6517987
2024-05-16 11:17:25,11,2.9248228
2024-05-16 11:17:25,13,1.7941229
2024-05-16 11:17:25,4,1.7919694
2024-05-16 11:17:26,5,1.7901893
2024-05-16 11:17:26,9,2.098349
2024-05-16 11:17:26,4,2.0682013
2024-05-16 11:17:26,10,2.4335508
2024-05-16 11:17:27,1,2.4982753
2024-05-16 11:17:27,17,2.8580427
2024-05-16 11:17:27,24,2.5725358
2024-05-16 11:17:27,14,3.715555
2024-05-16 11:17:28,20,3.9503722
2024-05-16 11:17:28,15,4.28327
2024-05-16 11:17:28,14,3.7311072
2024-05-16 11:17:29,9,2.8885705
2024-05-16 11:17:29,26,3.687852
2024-05-16 11:17:29,6,3.0249572
2024-05-16 11:17:29,29,3.1754756
2024-05-16 11:17:30,19,2.9384
2024-05-16 11:17:30,14,2.9243603
2024-05-16 11:17:30,30,2.873062
2024-05-16 11:17:30,31,4.4416904
2024-05-16 11:17:31,20,3.2606995
2024-05-16 11:17:31,22,2.970696
2024-05-16 11:17:31,17,3.9840608
2024-05-16 11:17:32,22,4.3604307
2024-05-16 11:17:32,21,3.9571598
2024-05-16 11:17:32,10,3.6502595
2024-05-16 11:17:32,23,5.2715206
2024-05-16 11:17:33,10,5.7397556
2024-05-16 11:17:33,28,6.2096887
2024-05-16 11:17:33,17,4.640183
2024-05-16 11:17:33,20,5.011923
2024-05-16 11:17:34,26,3.8108733
2024-05-16 11:17:34,30,4.041772
2024-05-16 11:17:34,31,3.5814245
2024-05-16 11:17:35,30,3.0218039
