Time,NumOfPeople,Optical Flow
2024-05-16 15:56:12,10,0
2024-05-16 15:56:12,2,4.353107
2024-05-16 15:56:12,10,1.3268588
2024-05-16 15:56:12,13,1.146272
2024-05-16 15:56:13,12,0.8469233
2024-05-16 15:56:13,13,1.0394639
2024-05-16 15:56:13,9,1.6107686
2024-05-16 15:56:13,9,1.4707354
2024-05-16 15:56:14,7,0.6146762
2024-05-16 15:56:14,6,0.61776274
2024-05-16 15:56:14,11,0.8997708
2024-05-16 15:56:14,6,0.83894604
2024-05-16 15:56:14,4,0.7708305
2024-05-16 15:56:15,8,0.8445463
2024-05-16 15:56:15,2,1.4462651
2024-05-16 15:56:15,2,0.89708346
2024-05-16 15:56:15,14,1.6455517
2024-05-16 15:56:16,3,0.73004353
2024-05-16 15:56:16,5,0.9815151
2024-05-16 15:56:16,9,0.72691655
2024-05-16 15:56:16,4,1.567619
2024-05-16 15:56:17,5,2.392956
2024-05-16 15:56:17,2,2.8910885
2024-05-16 15:56:17,4,3.3309786
2024-05-16 15:56:17,4,1.8662509
2024-05-16 15:56:18,2,1.491475
2024-05-16 15:56:18,5,2.3483894
2024-05-16 15:56:18,4,1.9048
2024-05-16 15:56:18,3,3.0924623
2024-05-16 15:56:18,3,4.9233656
2024-05-16 15:56:19,2,2.7418637
2024-05-16 15:56:19,1,3.1756706
2024-05-16 15:56:19,1,4.223377
2024-05-16 15:56:19,4,5.8591986
2024-05-16 15:56:20,2,5.008662
2024-05-16 15:56:20,3,6.223693
2024-05-16 15:56:20,2,5.7068667
2024-05-16 15:56:20,3,6.2542863
2024-05-16 15:56:21,6,4.229353
2024-05-16 15:56:21,3,4.328656
2024-05-16 15:56:21,4,3.9252007
2024-05-16 15:56:21,7,1.6302584
2024-05-16 15:56:22,7,1.1068401
2024-05-16 15:56:22,8,1.5940666
2024-05-16 15:56:22,3,1.2104751
2024-05-16 15:56:22,3,1.231155
2024-05-16 15:56:22,5,2.2887468
2024-05-16 15:56:23,6,2.013944
2024-05-16 15:56:23,4,1.7711023
2024-05-16 15:56:23,4,2.4542487
2024-05-16 15:56:23,5,2.2854238
2024-05-16 15:56:24,1,1.6186465
2024-05-16 15:56:24,4,1.3958789
2024-05-16 15:56:24,5,1.6045202
2024-05-16 15:56:24,8,1.0268512
2024-05-16 15:56:25,5,2.069799
2024-05-16 15:56:25,5,2.4398868
2024-05-16 15:56:25,7,1.9754146
2024-05-16 15:56:25,7,1.9390078
2024-05-16 15:56:26,9,1.4622241
2024-05-16 15:56:26,12,1.5713718
2024-05-16 15:56:26,13,1.4138623
2024-05-16 15:56:26,9,1.2713602
2024-05-16 15:56:27,11,0.9025345
2024-05-16 15:56:27,9,0.7455285
2024-05-16 15:56:27,9,1.0030833
2024-05-16 15:56:27,8,0.84040517
2024-05-16 15:56:27,2,1.4906707
2024-05-16 15:56:28,5,0.64525986
2024-05-16 15:56:28,2,0.4937586
2024-05-16 15:56:28,4,0.64776134
2024-05-16 15:56:28,5,0.5734034
2024-05-16 15:56:29,7,0.7395868
2024-05-16 15:56:29,3,0.79562294
2024-05-16 15:56:29,8,0.8481846
2024-05-16 15:56:29,11,0.60273254
2024-05-16 15:56:30,8,0.5358812
2024-05-16 15:56:30,5,0.7084219
2024-05-16 15:56:30,3,0.6101798
2024-05-16 15:56:30,1,0.83597094
2024-05-16 15:56:31,2,1.0966667
2024-05-16 15:56:31,10,0.95160216
2024-05-16 15:56:31,8,0.9568333
