Time,NumOfPeople,Optical Flow
2024-05-16 09:47:08,8,0
2024-05-16 09:47:08,6,7.399396
2024-05-16 09:47:08,5,2.6505713
2024-05-16 09:47:08,5,1.8596859
2024-05-16 09:47:09,5,1.8058069
2024-05-16 09:47:09,7,1.7399309
2024-05-16 09:47:09,6,1.2702675
2024-05-16 09:47:09,4,1.4181182
2024-05-16 09:47:09,3,1.1612433
2024-05-16 09:47:10,5,0.49989426
2024-05-16 09:47:10,6,0.8699159
2024-05-16 09:47:10,6,0.5719695
2024-05-16 09:47:10,6,1.1621468
2024-05-16 09:47:10,5,2.1583383
2024-05-16 09:47:11,6,1.3944045
2024-05-16 09:47:11,8,0.40544462
2024-05-16 09:47:11,7,1.009238
2024-05-16 09:47:11,7,1.0229453
2024-05-16 09:47:11,6,0.81072617
2024-05-16 09:47:12,6,3.1707633
2024-05-16 09:47:12,6,3.7081747
2024-05-16 09:47:12,6,2.735956
2024-05-16 09:47:12,7,1.1186042
2024-05-16 09:47:12,5,1.9646034
2024-05-16 09:47:13,7,2.796411
2024-05-16 09:47:13,4,2.9359775
2024-05-16 09:47:13,5,10.113922
2024-05-16 09:47:13,2,22.547956
2024-05-16 09:47:13,3,12.629192
2024-05-16 09:47:14,2,17.1967
2024-05-16 09:47:14,3,10.7519655
2024-05-16 09:47:14,4,17.766235
2024-05-16 09:47:14,3,20.35019
2024-05-16 09:47:15,5,12.496155
2024-05-16 09:47:15,8,10.7786875
2024-05-16 09:47:15,10,6.4720964
2024-05-16 09:47:15,7,8.484961
2024-05-16 09:47:15,6,15.473236
2024-05-16 09:47:16,2,17.398207
2024-05-16 09:47:16,2,18.412813
2024-05-16 09:47:16,4,13.275427
2024-05-16 09:47:16,4,13.341822
2024-05-16 09:47:17,5,10.269098
2024-05-16 09:47:17,6,21.897633
2024-05-16 09:47:17,5,9.107603
2024-05-16 09:47:17,6,5.754242
2024-05-16 09:47:17,8,2.74626
2024-05-16 09:47:18,7,3.5658674
2024-05-16 09:47:18,8,4.4125776
2024-05-16 09:47:18,4,18.68174
2024-05-16 09:47:18,7,4.666669
2024-05-16 09:47:19,5,6.543383
2024-05-16 09:47:19,5,5.1920056
2024-05-16 09:47:19,7,14.961992
2024-05-16 09:47:19,6,4.5842505
2024-05-16 09:47:19,7,13.957367
2024-05-16 09:47:20,9,9.597944
2024-05-16 09:47:20,10,6.33409
2024-05-16 09:47:20,6,8.587659
2024-05-16 09:47:20,7,7.6111026
2024-05-16 09:47:20,7,5.9524274
2024-05-16 09:47:21,7,3.3055968
2024-05-16 09:47:21,9,3.5802767
2024-05-16 09:47:21,10,9.587122
2024-05-16 09:47:21,9,13.200194
2024-05-16 09:47:22,5,19.827665
2024-05-16 09:47:22,6,9.056673
2024-05-16 09:47:22,5,3.2142217
2024-05-16 09:47:22,6,3.1531365
2024-05-16 09:47:22,7,3.2576094
2024-05-16 09:47:23,4,3.9740055
2024-05-16 09:47:23,4,2.0728285
2024-05-16 09:47:23,3,3.013014
2024-05-16 09:47:23,2,2.0994432
2024-05-16 09:47:24,4,5.129382
2024-05-16 09:47:24,4,2.1601486
2024-05-16 09:47:24,2,1.7817241
2024-05-16 09:47:24,3,2.3377173
2024-05-16 09:47:24,5,1.3853953
2024-05-16 09:47:25,4,0.928661
2024-05-16 09:47:25,2,3.2278268
2024-05-16 09:47:25,3,3.1503606
2024-05-16 09:47:25,3,2.4913366
2024-05-16 09:47:26,5,3.1830242
2024-05-16 09:47:26,4,2.902801
2024-05-16 09:47:26,2,3.4029922
2024-05-16 09:47:26,4,3.5772545
2024-05-16 09:47:26,5,2.1539116
2024-05-16 09:47:27,2,4.3323526
2024-05-16 09:47:27,1,3.2504113
2024-05-16 09:47:27,4,1.9793278
2024-05-16 09:47:27,3,2.9272623
2024-05-16 09:47:27,6,3.8113241
2024-05-16 09:47:28,8,2.5509756
2024-05-16 09:47:28,8,2.331838
2024-05-16 09:47:28,7,2.4446151
2024-05-16 09:47:28,7,4.608197
2024-05-16 09:47:29,6,4.4422126
2024-05-16 09:47:29,5,5.74488
2024-05-16 09:47:29,1,5.0299244
2024-05-16 09:47:29,3,3.4607902
2024-05-16 09:47:29,4,2.9603202
2024-05-16 09:47:30,4,6.223997
2024-05-16 09:47:30,4,3.7156935
2024-05-16 09:47:30,4,3.276467
2024-05-16 09:47:30,6,2.181408
2024-05-16 09:47:31,3,3.8251905
2024-05-16 09:47:31,2,5.0613317
2024-05-16 09:47:31,1,1.7409041
2024-05-16 09:47:31,3,2.240469
2024-05-16 09:47:31,4,2.2304542
2024-05-16 09:47:32,3,1.6716114
2024-05-16 09:47:32,3,1.3052733
2024-05-16 09:47:32,3,1.379363
2024-05-16 09:47:32,3,1.9056779
2024-05-16 09:47:33,1,1.6497664
2024-05-16 09:47:33,4,2.2164953
2024-05-16 09:47:33,3,1.7105676
2024-05-16 09:47:33,3,1.962273
2024-05-16 09:47:34,4,2.6197913
2024-05-16 09:47:34,5,2.380818
2024-05-16 09:47:34,2,2.346968
2024-05-16 09:47:34,3,2.2530174
2024-05-16 09:47:34,1,2.2799177
2024-05-16 09:47:35,3,2.0711775
2024-05-16 09:47:35,3,1.5583749
2024-05-16 09:47:35,2,1.4026463
2024-05-16 09:47:35,2,1.1010785
2024-05-16 09:47:36,3,1.6761723
2024-05-16 09:47:36,5,1.8360294
2024-05-16 09:47:36,2,2.3620198
2024-05-16 09:47:36,9,1.7930336
2024-05-16 09:47:36,3,2.0383358
2024-05-16 09:47:37,4,2.3687243
2024-05-16 09:47:37,1,3.214774
2024-05-16 09:47:37,5,2.2860625
2024-05-16 09:47:37,6,2.4083207
2024-05-16 09:47:37,3,3.3505795
2024-05-16 09:47:38,4,2.3172176
2024-05-16 09:47:38,3,2.0483117
2024-05-16 09:47:38,3,3.5329545
2024-05-16 09:47:38,2,2.6297717
2024-05-16 09:47:39,2,3.0635202
2024-05-16 09:47:39,2,7.1760874
2024-05-16 09:47:39,2,4.250191
2024-05-16 09:47:39,2,4.9869514
2024-05-16 09:47:40,1,5.036097
2024-05-16 09:47:40,4,2.848414
2024-05-16 09:47:40,3,2.968875
2024-05-16 09:47:40,4,5.253375
2024-05-16 09:47:41,2,3.2678747
2024-05-16 09:47:41,1,2.4310753
2024-05-16 09:47:41,3,1.7979808
2024-05-16 09:47:41,3,2.2103815
2024-05-16 09:47:41,3,2.518821
2024-05-16 09:47:42,3,2.885551
2024-05-16 09:47:42,3,2.5000486
2024-05-16 09:47:42,3,3.4605868
2024-05-16 09:47:42,2,3.1226306
2024-05-16 09:47:43,2,3.4607785
2024-05-16 09:47:43,1,2.727177
2024-05-16 09:47:43,4,2.0647097
2024-05-16 09:47:43,9,2.1864867
2024-05-16 09:47:44,9,2.2926683
2024-05-16 09:47:44,2,2.1734147
2024-05-16 09:47:44,3,2.6714592
2024-05-16 09:47:44,2,1.6269065
2024-05-16 09:47:44,3,2.65769
2024-05-16 09:47:45,5,3.6341252
2024-05-16 09:47:45,6,3.2755992
2024-05-16 09:47:45,6,3.0969534
2024-05-16 09:47:45,5,3.1635077
2024-05-16 09:47:46,5,5.4481025
2024-05-16 09:47:46,7,6.364766
2024-05-16 09:47:46,8,5.055945
2024-05-16 09:47:46,7,3.752854
2024-05-16 09:47:47,6,4.5691614
2024-05-16 09:47:47,7,3.6983926
2024-05-16 09:47:47,7,4.5391774
2024-05-16 09:47:47,7,4.5560946
2024-05-16 09:47:47,8,5.6397495
2024-05-16 09:47:48,6,6.9598355
2024-05-16 09:47:48,8,6.9056787
2024-05-16 09:47:48,8,4.2262278
2024-05-16 09:47:48,5,3.8603966
2024-05-16 09:47:49,11,3.6808655
2024-05-16 09:47:49,13,4.1205597
2024-05-16 09:47:49,11,4.1361012
2024-05-16 09:47:49,6,4.582163
2024-05-16 09:47:50,7,3.8366804
2024-05-16 09:47:50,7,3.2624278
2024-05-16 09:47:50,5,4.0303454
2024-05-16 09:47:50,7,3.6135721
2024-05-16 09:47:50,7,2.6697235
2024-05-16 09:47:51,6,1.2106736
2024-05-16 09:47:51,7,1.4619201
2024-05-16 09:47:51,8,1.3907672
2024-05-16 09:47:51,8,0.9483014
2024-05-16 09:47:52,10,1.3482226
2024-05-16 09:47:52,11,1.321874
2024-05-16 09:47:52,10,0.96238136
2024-05-16 09:47:52,8,0.8520593
2024-05-16 09:47:53,10,1.6640378
2024-05-16 09:47:53,7,0.78974324
2024-05-16 09:47:53,8,0.98312014
2024-05-16 09:47:53,10,1.027999
2024-05-16 09:47:54,10,0.92651844
2024-05-16 09:47:54,8,0.7372969
2024-05-16 09:47:54,8,0.7147816
2024-05-16 09:47:54,9,1.0394135
2024-05-16 09:47:55,9,0.85325396
2024-05-16 09:47:55,8,0.9866097
2024-05-16 09:47:55,7,0.96445364
2024-05-16 09:47:55,9,0.7277443
2024-05-16 09:47:55,10,0.81227237
2024-05-16 09:47:56,10,0.6261227
2024-05-16 09:47:56,10,0.61500895
2024-05-16 09:47:56,11,0.7466105
2024-05-16 09:47:56,9,0.47967342
2024-05-16 09:47:57,9,0.6788956
2024-05-16 09:47:57,8,0.6079896
2024-05-16 09:47:57,9,0.64655155
2024-05-16 09:47:57,8,0.62529874
2024-05-16 09:47:58,11,0.8337289
2024-05-16 09:47:58,10,1.1413668
2024-05-16 09:47:58,7,1.6150587
2024-05-16 09:47:58,12,2.2839153
2024-05-16 09:47:59,9,2.3938715
2024-05-16 09:47:59,8,1.7324876
2024-05-16 09:47:59,5,1.6906831
2024-05-16 09:47:59,8,1.1204628
2024-05-16 09:48:00,7,1.0809197
2024-05-16 09:48:00,9,0.9606486
2024-05-16 09:48:00,8,1.2286618
2024-05-16 09:48:00,11,1.2520516
2024-05-16 09:48:00,8,1.3132676
2024-05-16 09:48:01,7,0.95324343
2024-05-16 09:48:01,7,0.7572323
2024-05-16 09:48:01,7,0.6836613
2024-05-16 09:48:01,6,0.54194695
2024-05-16 09:48:02,6,0.32910773
2024-05-16 09:48:02,6,0.5157728
2024-05-16 09:48:02,7,0.58732724
2024-05-16 09:48:02,6,0.55059046
2024-05-16 09:48:03,8,0.5278532
2024-05-16 09:48:03,7,0.4220667
2024-05-16 09:48:03,6,0.34055206
2024-05-16 09:48:03,6,0.40265533
2024-05-16 09:48:03,7,0.32531306
2024-05-16 09:48:04,5,0.19133444
2024-05-16 09:48:04,6,0.5887017
2024-05-16 09:48:04,6,0.40394208
2024-05-16 09:48:04,7,0.34816596
2024-05-16 09:48:05,6,0.6800144
2024-05-16 09:48:05,5,0.66777414
2024-05-16 09:48:05,3,0.2922451
2024-05-16 09:48:05,7,0.9266264
2024-05-16 09:48:06,7,0.58120054
2024-05-16 09:48:06,7,1.3385617
2024-05-16 09:48:06,8,1.1153324
2024-05-16 09:48:06,6,1.87583
2024-05-16 09:48:06,7,2.3845782
2024-05-16 09:48:07,6,2.9084544
2024-05-16 09:48:07,7,6.72762
2024-05-16 09:48:07,6,4.4131064
2024-05-16 09:48:07,8,3.1791961
2024-05-16 09:48:08,7,3.9471402
2024-05-16 09:48:08,5,5.644573
2024-05-16 09:48:08,5,5.322232
2024-05-16 09:48:08,6,3.8404696
2024-05-16 09:48:09,7,4.5234823
2024-05-16 09:48:09,8,2.0473022
2024-05-16 09:48:09,6,2.245412
2024-05-16 09:48:09,6,0.9866278
2024-05-16 09:48:10,6,2.5855942
2024-05-16 09:48:10,5,2.7522185
2024-05-16 09:48:10,7,3.6111617
2024-05-16 09:48:10,6,4.6149697
2024-05-16 09:48:10,5,5.1443057
2024-05-16 09:48:11,4,2.458644
2024-05-16 09:48:11,6,2.6082034
2024-05-16 09:48:11,7,3.1008196
2024-05-16 09:48:11,7,2.65595
2024-05-16 09:48:12,7,4.0298004
2024-05-16 09:48:12,7,1.6185702
2024-05-16 09:48:12,7,1.6973547
2024-05-16 09:48:12,10,1.1468397
2024-05-16 09:48:13,9,1.632443
2024-05-16 09:48:13,7,1.1672117
2024-05-16 09:48:13,11,1.198447
2024-05-16 09:48:13,7,1.1594206
2024-05-16 09:48:14,6,1.7726014
2024-05-16 09:48:14,6,2.3812406
2024-05-16 09:48:14,5,3.204671
2024-05-16 09:48:14,6,3.0105183
2024-05-16 09:48:15,8,4.674245
2024-05-16 09:48:15,8,4.643195
2024-05-16 09:48:15,8,4.9766335
2024-05-16 09:48:15,8,4.331658
2024-05-16 09:48:15,8,3.6596797
2024-05-16 09:48:16,8,2.0353794
2024-05-16 09:48:16,6,3.4179664
2024-05-16 09:48:16,7,2.3329434
2024-05-16 09:48:16,7,1.7394295
2024-05-16 09:48:17,5,1.6160498
2024-05-16 09:48:17,6,1.7217729
2024-05-16 09:48:17,7,2.243758
2024-05-16 09:48:17,6,3.4268558
2024-05-16 09:48:18,5,3.79922
2024-05-16 09:48:18,6,1.6225486
2024-05-16 09:48:18,6,2.5253646
2024-05-16 09:48:18,8,2.6231759
